,score_paper,score_me
89,1165.4648442452308,1765.5136142184492
90,1005.2793221538886,846.7599027154502
91,724.5830732500181,935.7594556116965
92,2092.409310963005,2852.456652200781
93,945.0713102780282,939.2802608159836
94,2864.1784975340124,2316.1351132167038
95,2272.6336264014244,2252.757437285036
96,1955.9846632471308,2534.3194818347692
97,2392.700883372687,2296.606336086057
98,8466.75943142525,6430.783764030784
99,1911.8840988145676,1907.0853642076254
100,3679.0011769374833,3160.031593493186
101,1985.7980797206983,2462.0929137161
102,2043.6968677302357,2702.819276571274
103,1589.6433866710868,1336.4445697234478
104,1755.2937672697008,1235.3838242755737
105,2073.8174429526553,2042.9851087050047
106,1228.6001709231641,1930.8392026424408
107,1158.3800371193793,1547.2162000422832
108,2042.8844220638275,1969.9936125716195
109,944.1771409874782,755.9996788965072
110,2061.023007120937,2091.7302958851214
111,1051.712511246791,1389.7028496561106
112,1372.9768142045941,2183.4893868258223
113,2035.5936214530375,2127.4871669104323
114,2566.7397781461477,2604.486020005308
115,1406.3867893479764,2371.6071299277246
116,3100.378806114197,2271.7192245943006
117,3231.1048557234462,2661.6202445921954
118,1462.8477381651755,2087.3993987848517
119,2884.158746307483,2334.1367397753056
120,1850.9556869110093,2109.4729437769856
121,5294.469050718239,4096.127827133983
122,3323.82207551226,2712.5399039869662
123,1186.4789620488882,1550.0772073231637
124,1934.1859982756432,1853.564986645244
125,1581.608748909086,1172.7536747967824
126,1298.969543495914,1713.327223625034
127,7462.367718631169,5780.412271912908
128,7710.42389726243,5987.070836381754
129,2868.377918741666,3274.7886710232124
130,2970.9529216848314,2343.4782311373856
131,1048.6765665858984,1785.33758476004
132,3077.0339966081083,2330.4844926586375
133,814.3118595124688,933.5493529622909
134,1487.8589414954185,2412.219154773047
135,3260.4655998013914,2918.100959985517
136,2262.321895948611,2201.6428019234445
137,2248.8770993722137,2467.666900874814
138,4725.769115144154,4273.168298091739
139,2271.5839771141764,2624.0209452023264
140,2026.8051556861028,2221.3572941252496
141,3834.0055402368307,3612.4918607266154
142,1365.273730467772,1511.33703393396
143,1375.2375826239586,1363.747592944419
144,5630.350811219774,4829.46673040255
145,2238.0294183434453,2198.107940754853
146,3354.146972327493,3396.36593651399
147,1482.3734124840703,1182.0875820657238
148,2446.9511107467115,3027.052558660507
149,7437.760493185371,5933.083666234277
150,1909.0958212630358,2676.6573349973187
151,2375.72912203311,2149.9771159254014
