,vifp_me_gt,vifp_ori_gt,mssim_me_gt,mssim_ori_gt,psnr_me_gt,psnr_ori_gt
22,0.2908705109635386,0.1988720564113837,(0.8558977392701999+0j),(0.7638662481383504+0j),25.762077120999347,24.589823002380072
23,0.31854048464604384,0.25867097665809585,(0.8866009319801714+0j),(0.854461938553023+0j),27.985283966348028,26.70540736265241
24,0.24928441817036082,0.1067242116330863,(0.8835149608198394+0j),(0.7575431592192545+0j),24.010448212591868,20.534374253923595
25,0.21155419377372064,0.11062932560561839,(0.7908959960017165+0j),(0.634603631910628+0j),24.63863767101555,22.24205327106562
26,0.3263025091902523,0.2594529812526854,(0.9241875670508907+0j),(0.8930182296969081+0j),26.90390608905893,25.358761704490846
27,0.1649894219767337,0.06954510222478232,(0.7213558095908073+0j),(0.544729841522131+0j),22.73917579878158,20.38358629457945
28,0.33234945183665415,0.24885489184873022,(0.9135738086947244+0j),(0.8711223217324142+0j),26.168912946680287,25.18069375799439
29,0.3549831707060845,0.21943405935935267,(0.9051379280311371+0j),(0.7853065004818102+0j),26.829871832213247,22.30841130820254
30,0.32782949317373916,0.2397034315741945,(0.8743822370161413+0j),(0.8089382057495315+0j),25.928670675938996,24.565394867881395
31,0.33442387781023486,0.2410381795239863,(0.877689608559574+0j),(0.7881762788875284+0j),25.865257016870565,23.530920019025267
32,0.30015616261475725,0.23536660800536438,(0.8621377547476732+0j),(0.8118695894379754+0j),27.613571631973212,26.449209949820258
33,0.151567218781696,0.04888457233705102,(0.6956468838111828+0j),(0.5299031558286433+0j),20.998699858230452,18.954851208631137
34,0.1649416827919116,0.055852979294707665,(0.7104225486578827+0j),(0.5192805380465083+0j),20.581934159673068,18.116971821526114
35,0.4272516293906304,0.38602130341018387,(0.9296441549243362+0j),(0.912945228441534+0j),27.757799169354755,28.00841403262689
36,0.17717035849009247,0.15821580587903047,(0.7705308895580699+0j),(0.7541361766277489+0j),24.856666012988207,24.47134436445708
37,0.4048658101300386,0.35496306751431034,(0.9166852517752934+0j),(0.8909852724774139+0j),28.89166755492127,28.03574089484851
38,0.32768008534064613,0.2394953782583272,(0.9046579126157671+0j),(0.8485817602713902+0j),27.977587369115177,25.58607220915522
39,0.2788698605782956,0.16579658810250703,(0.8996978816101818+0j),(0.8345740949801659+0j),24.84780506763031,22.639693900053736
40,0.31799607102718347,0.17641796639557214,(0.8911097393199695+0j),(0.7582507671906786+0j),26.39683522571355,22.002484955247617
41,0.17244529019047658,0.08413104051951577,(0.7105493642590048+0j),(0.5624323311015633+0j),22.04763634443553,20.270168216887576
42,0.33188137913671817,0.2672080206705012,(0.8768758051057255+0j),(0.8308392957390494+0j),28.00457297999785,26.30081900045553
43,0.4046891370506332,0.36912572638342006,(0.9203846471602148+0j),(0.9017488955823756+0j),27.181166485644248,27.29518198621323
44,0.21580144050128178,0.11505340527192198,(0.7796846147894296+0j),(0.6251157482210691+0j),24.611898232475458,22.395251439182815
45,0.16569693925378118,0.06001394546126685,(0.7192207116527265+0j),(0.5491959202617556+0j),21.005290215687424,18.683806310708256
